,MPN,MPO,VISpl,LC,PS,ENTm,BST,AVP,ENTl,AVPV,VISl,LPO,ADP
MPN,0.0016399023503609954,0.00169116790927652,1.5281122177798734e-06,8.154083466284693e-05,0.0011066430173544619,2.22735964289167e-06,0.0005311304129365732,0.0016759793012004864,3.1035758994953594e-06,0.001386105166621259,5.277845625537646e-07,0.0007504259567952554,0.0011386416408449196
MPO,0.001512372220733455,0.0018584734177386167,2.423299734631516e-06,8.580400133354878e-05,0.0011885019426802245,2.008261691124089e-06,0.0005192537560434867,0.0019764580121854327,2.378155577433796e-06,0.0015277733209440093,6.844319337026482e-07,0.0009000446978980277,0.0011178685571710764
VISpl,3.616996673430183e-09,4.028418520625805e-08,0.0027556801925273573,5.462897468945437e-07,1.1400680859011751e-12,9.38630916332652e-05,5.891427218925332e-07,2.3147885373081544e-08,0.00013231295062193782,3.7833274878038696e-06,0.0025961199346005823,1.112197778435224e-07,5.60033784014313e-09
LC,2.9190330544339574e-05,9.921533230748664e-05,1.1920742301142117e-06,0.0032282174196493893,0.0007477499445533494,2.8368359607928848e-06,0.00024923035555155995,9.615450859813796e-05,1.2426997980392135e-05,0.00011427293883487195,3.8109345544211543e-07,0.00026750221004201907,0.0002210995968871022
PS,0.0015639121546815028,0.0018680499451807489,2.051713142227918e-06,8.592771767620841e-05,0.0013283705446602205,1.6552108916878383e-06,0.0005497365879089601,0.0019224684166439046,1.770136446385641e-06,0.0012183806860787381,5.704675355006672e-07,0.000827432987181528,0.001269413472310892
ENTm,1.4068518130108149e-05,3.72040135344604e-05,0.00033383516524290485,8.722531166231169e-07,1.3262946200335825e-05,0.0009539173227299961,9.664486119028574e-05,5.181594496647445e-05,0.0007772547881814335,1.6716331402161827e-05,0.00018660338095924186,2.6342158388324235e-05,1.2494852452969275e-05
BST,0.000916502269324034,0.0006315666372704347,2.95066657251372e-06,2.7665430641289464e-05,0.0006009956216949106,1.2058112406775572e-05,0.0018857113735703988,0.00031150133252372464,9.240679327399624e-06,0.0003886747212834399,1.7026500501522734e-07,0.0007781578766477379,0.000682557957414149
AVP,0.0015632970952824776,0.0020320457438755134,2.634205857123432e-06,9.126316417418734e-05,0.0012399488504982199,1.7557212329593143e-06,0.0005020971239835586,0.002295005201500265,1.7948559260303832e-06,0.0020697509687555805,7.8453465447283e-07,0.0009818322110366738,0.0011328910071055748
ENTl,1.2903653385993374e-05,3.1932691524728504e-05,0.00027243083195487407,1.6161639222645937e-06,3.2297093759827694e-05,0.0006764920363996282,0.00015702843614633013,3.4587905474914604e-05,0.0018931730817969348,1.3728400661457406e-05,0.00020110941432385326,4.386000007332339e-05,1.982811664605381e-05
AVPV,0.0019046715226018216,0.0020811264259086647,1.3041537824089598e-06,7.0769927300145e-05,0.0012697599726417775,1.2749386814392796e-06,0.0004675853111657091,0.002419621432633293,1.255781273606745e-06,0.0036014331953554673,5.181901386105192e-07,0.000758863709015881,0.0014437860155353474
VISl,3.6191228392430814e-09,9.38438259936041e-08,0.0017336803767419708,2.7914240469472296e-06,1.1475986490281216e-15,8.511472439954748e-05,6.712244137031584e-07,3.2148964623395974e-08,0.00011289124981010923,9.53096774579624e-07,0.0035175764735994237,1.2962194847330834e-07,5.60013601515788e-09
LPO,0.001115931807136315,0.001805266691183249,4.676165788977591e-06,8.793747122684741e-05,0.0010687985935091213,2.6640832891993482e-06,0.0005004908982855483,0.0019620418104998464,3.273383872871274e-06,0.0009123475788022367,9.346991377652237e-07,0.0011395669776825715,0.0007964734128493222
ADP,0.0018579103223483023,0.0017730925017289355,7.14034199215817e-07,7.154919295960228e-05,0.0014457433561401358,1.3140803080934963e-06,0.00055520465730278,0.0016909825077339542,1.3495072850185464e-06,0.0013962925586570676,2.820289706195787e-07,0.0005677991899250994,0.0017028211950957071
